#
#name:   ENDF/B-VIII.0: BE-9(P,N`)B-9-L1
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  22
#data...
#            X            Y
#          MeV        barns
        3.8368            0 
             4         0.03 
           4.3         0.05 
             5        0.058 
           5.5       0.0565 
             6       0.0465 
           6.5       0.0395 
             7        0.038 
           7.3       0.0355 
             8      0.02515 
            10      0.02025 
            12      0.01825 
            14       0.0148 
            16      0.01285 
            18      0.01185 
            20      0.01115 
            30        0.016 
            40        0.013 
            50        0.005 
            75        0.003 
           100        0.002 
           113       0.0015 
