DatasetID,year1,author1,DATA (B) 0.1,ERR-T (B) 0.911,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,ERR-4 (PER-CENT) 0.955,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D4095002,2001,E.Hess+,0.2217,0.0324,1,5,5,5,4.56e+6,2.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1788,0.0262,1,5,5,5,4.57e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2653,0.0426,1,5,5,5,4.59e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2025,0.0296,1,5,5,5,4.81e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2183,0.0257,1,5,5,5,4.91e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2193,0.0262,1,5,5,5,4.96e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.5859,0.0855,1,5,5,5,5.02e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.3926,0.0574,1,5,5,5,5.04e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.412,0.0601,1,5,5,5,5.25e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4586,0.0541,1,5,5,5,5.35e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4046,0.065,1,5,5,5,5.46e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.4941,0.0721,1,5,5,5,5.65e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2584,0.0305,1,5,5,5,5.85e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2485,0.0363,1,5,5,5,5.94e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2506,0.0408,1,5,5,5,6.12e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2219,0.0361,1,5,5,5,6.21e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.3125,0.0502,1,5,5,5,6.24e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1852,0.0218,1,5,5,5,6.26e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2312,0.0338,1,5,5,5,6.27e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2345,0.0343,1,5,5,5,6.47e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.141,0.023,1,5,5,5,6.73e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1478,0.0216,1,5,5,5,6.75e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1667,0.0244,1,5,5,5,6.78e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1997,0.0235,1,5,5,5,6.86e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.237,0.0347,1,5,5,5,6.9e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2172,0.0349,1,5,5,5,6.94e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2179,0.0257,1,5,5,5,7.04e+6,5.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.3121,0.0508,1,5,5,5,7.37e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2268,0.0332,1,5,5,5,7.6e+6,5.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2492,0.04,1,5,5,5,7.61e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1921,0.0233,1,5,5,5,8.1e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2327,0.034,1,5,5,5,8.19e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2705,0.0396,1,5,5,5,8.58e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2619,0.0383,1,5,5,5,8.77e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2733,0.0445,1,5,5,5,9.04e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2579,0.0377,1,5,5,5,9.1e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2144,0.026,1,5,5,5,9.11e+6,4.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2384,0.0349,1,5,5,5,9.64e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.2404,0.0391,1,5,5,5,9.74e+6,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1981,0.0322,1,5,5,5,1.011e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
D4095002,2001,E.Hess+,0.1537,0.0184,1,5,5,5,1.046e+7,3.0e+5,8018,8-O-18,P,N,9-F-18,3,4,CS,CS,1,2,"8-O-18(P,N)9-F-18,,SIG"
