DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (PER-CENT) 0.911,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
T00160021,1991,M.L.Firouzbakht+,0.079,10,8.15e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.104,10,8.26e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.086,10,8.36e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.136,10,8.47e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.082,10,8.57e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.06,10,8.68e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.049,10,8.78e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.053,10,8.89e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.097,10,9.1e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.07,10,9.31e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.061,10,9.52e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.082,10,9.72e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.047,10,9.93e+6,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.051,10,1.025e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.042,10,1.045e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
T00160021,1991,M.L.Firouzbakht+,0.054,10,1.077e+7,6013,6-C-13,P,N,7-N-13,3,4,CS,CS,1,2,"6-C-13(P,N)7-N-13,,SIG"
