DatasetID,year1,author1,DATA (B) 0.1,DATA-ERR (B) 0.911,ERR-T (B) 0.911,EN (EV) 1.1,EN-ERR (EV) 1.911,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
A0336002,1987,N.V.Eremin+,1.2e-4,1.3e-6,,1.54e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.091e-4,1.3e-6,,1.55e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.0e-4,1.3e-6,,1.555e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,8.36e-5,1.3e-6,,1.568e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,7.36e-5,1.3e-6,,1.592e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,6.99e-5,1.3e-6,,1.617e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,6.81e-5,1.3e-6,,1.639e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,6.71e-5,1.3e-6,,1.66e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,7.43e-5,1.3e-6,,1.688e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.061e-4,1.3e-6,,1.746e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,9.87e-5,1.3e-6,,1.781e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.78e-4,1.3e-6,1.2e-5,1.833e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.849e-4,1.3e-6,,1.935e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,1.93e-4,1.3e-6,1.3e-5,1.984e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
A0336002,1987,N.V.Eremin+,2.702e-4,1.3e-6,,2.028e+6,4000,4010,4-BE-10,P,N,5-B-10,3,4,CS,CS,1,2,"4-BE-10(P,N)5-B-10,,SIG"
