DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
C0627003,1980,J.L.Zyskind+,0.0637,,3.261e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0722,,3.311e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.065,,3.361e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0726,,3.411e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0728,,3.463e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0806,,3.513e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0826,,3.563e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0877,,3.612e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0968,,3.662e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
C0627003,1980,J.L.Zyskind+,0.0974,,3.713e+6,23051,23-V-51,P,N,24-CR-51,3,4,CS,CS,1,2,"23-V-51(P,N)24-CR-51,,SIG"
