DatasetID,year1,author1,DATA (B) 0.1,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
T0126007,1964,C.H.Johnson+,0.0989,0.0125,0.25,0.05,3.547e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.118,0.0125,0.25,0.05,3.61e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.12,0.0125,0.25,0.05,3.688e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.111,0.0125,0.25,0.05,3.76e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.116,0.0125,0.25,0.05,3.835e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.136,0.0125,0.25,0.05,3.917e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.134,0.0125,0.25,0.05,3.993e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.15,0.0125,0.25,0.05,4.068e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.174,0.0125,0.25,0.05,4.15e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.171,0.0125,0.25,0.05,4.255e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.188,0.0125,0.25,0.05,4.34e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.184,0.0125,0.25,0.05,4.415e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.183,0.0125,0.25,0.05,4.51e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.216,0.0125,0.25,0.05,4.59e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.216,0.0125,0.25,0.05,4.675e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.219,0.0125,0.25,0.05,4.76e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.22,0.0125,0.25,0.05,4.847e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.251,0.0125,0.25,0.05,4.935e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.256,0.0125,0.25,0.05,5.023e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.271,0.0125,0.25,0.05,5.097e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.286,0.0125,0.25,0.05,5.198e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.294,0.0125,0.25,0.05,5.288e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.307,0.0125,0.25,0.05,5.375e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.324,0.0125,0.25,0.05,5.462e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
T0126007,1964,C.H.Johnson+,0.34,0.0125,0.25,0.05,5.563e+6,25055,25-MN-55,P,N,26-FE-55,3,4,CS,CS,1,2,"25-MN-55(P,N)26-FE-55,,SIG"
