DatasetID,year1,author1,DATA (B) 0.1,ERR-S (B) 0.944,ERR-1 (PER-CENT) 0.955,ERR-2 (PER-CENT) 0.955,ERR-3 (PER-CENT) 0.955,EN (EV) 1.1,zaTarg1,Targ1,Proj,Emission,Prod,MF,MT,ReacType,Quant1,nx,indVars,Reacode
D0680003,1980,S.R.Kennett+,0.0326,0.00319,3,8,2,2.36e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0454,0.00342,3,8,2,2.39e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.044,0.00282,3,8,2,2.42e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0306,0.00442,3,8,2,2.45e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0473,0.00409,3,8,2,2.48e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0513,0.00387,3,8,2,2.5e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0519,0.00507,3,8,2,2.53e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0518,0.0039,3,8,2,2.56e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0377,0.00467,3,8,2,2.6e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
D0680003,1980,S.R.Kennett+,0.0637,0.00568,3,8,2,2.63e+6,22049,22-TI-49,P,N,23-V-49,3,4,CS,CS,1,2,"22-TI-49(P,N)23-V-49,,SIG"
